0,119,144,13
0,106,115,12
0,75,82,13
0,25,11,6
5,93,90,12
137,27,51,13
165,16,18,9
199,98,46,12
202,68,41,11
204,82,36,12
207,33,31,30
257,87,15,11
261,18,34,12
262,74,35,11
262,59,44,11
262,5,73,10
263,113,50,10
263,37,22,15
266,127,26,12
267,100,7,10
282,100,7,10
297,100,7,10
312,100,7,10
322,35,43,10
328,101,37,10
328,46,37,11
331,59,34,12
333,87,32,12
333,74,32,10
344,18,22,14
344,5,21,11
372,18,44,12
373,87,21,10
373,74,35,11
373,59,44,11
373,5,104,11
374,126,59,13
374,112,60,12
374,37,22,15
379,101,5,9
394,101,5,9
409,101,5,9
424,101,5,9
427,35,50,10
439,101,38,10
439,46,38,11
441,59,36,12
444,74,33,10
445,87,32,12
456,18,22,14
484,127,40,12
484,74,35,11
484,59,44,11
484,18,54,12
484,5,104,11
485,113,60,11
485,87,9,11
485,37,22,15
490,101,5,9
505,101,20,9
535,101,5,9
544,35,44,10
550,101,38,10
550,46,38,11
553,59,35,12
555,74,33,10
556,87,32,12
567,18,22,14
595,17,64,13
596,87,11,11
596,74,35,10
596,59,43,11
596,37,24,15
596,4,103,12
597,112,49,11
600,127,26,12
602,101,5,9
617,101,20,9
649,35,50,10
661,101,38,10
661,46,38,11
664,59,35,12
667,87,32,12
667,74,32,10
678,18,22,14
